seismic(sensit) error,seismic (sensit) cp,seismic delayed error,seismic delayed cp,Connect-4 error,Connect-4 cp,Connect-4 delayed error,Connect-4 delayed cp,protein error,protein cp,protein delayed error,protein delayed cp,mnist error,mnist cp,mnist delayed error,mnist delayed cp
0.403116,7.62369E-05,0.463775,0.000101649,0.509164,7.18184E-05,0.506234,0.000149382,,,,,0.192009,0.000281648,,
0.383396,7.11545E-05,0.447181,9.52962E-05,0.506866,6.89457E-05,0.5052,0.000146829,,,,,0.189756,0.000262871,,
0.38243,6.98839E-05,0.445402,9.43886E-05,0.504912,5.74548E-05,0.503016,0.000143637,,,,,0.184761,0.000244095,,
0.381058,6.77662E-05,0.444512,9.31785E-05,0.495088,4.59638E-05,0.497903,0.000137891,,,,,0.183785,0.000237836,,
0.372672,6.67073E-05,0.441031,9.14843E-05,0.494398,4.30911E-05,0.496352,0.000134061,,,,,0.182714,0.000234707,,
0.371325,0.000066072,0.440345,8.89431E-05,0.493307,4.10391E-05,0.493249,0.000129273,,,,,0.182245,0.000228448,,
0.370994,0.000065346,0.432924,8.64019E-05,0.493019,3.83032E-05,0.491008,0.0001264,,,,,0.179748,0.000225318,,
0.370461,6.35308E-05,0.430434,8.47077E-05,0.492215,3.28313E-05,0.489457,0.00011491,,,,,0.176387,0.000206542,,
0.361338,5.92954E-05,0.427435,8.34976E-05,0.491985,2.87274E-05,0.477621,0.000105334,,,,,0.172669,0.000200283,,
0.353104,5.71777E-05,0.426724,0.00008259,0.490204,2.29819E-05,0.475266,0.000103419,,,,,0.172068,0.000197153,,
0.350665,0.00005506,0.424538,8.13194E-05,0.489974,1.91516E-05,0.474749,0.000102142,,,,,0.170303,0.000187765,,
0.349673,5.08246E-05,0.424132,7.98673E-05,0.489629,1.64156E-05,0.473829,0.000100546,,,,,0.166548,0.000178377,,
0.336764,4.57422E-05,0.423572,7.94135E-05,0.489515,1.43637E-05,0.472048,9.57579E-05,,,,,0.165477,0.000175248,,
0.335443,4.44716E-05,0.421107,7.62369E-05,0.489342,0.000011491,0.470037,0.000090286,,,,,0.163994,0.000168989,,
0.333994,4.23539E-05,0.404107,7.34134E-05,0.48917,9.57579E-06,0.469405,8.61821E-05,,,,,0.156953,0.00016273,,
0.3313,4.06597E-05,0.403217,7.11545E-05,0.489112,7.18184E-06,0.46412,7.66063E-05,,,,,0.156465,0.0001596,,
0.330284,3.81185E-05,0.401515,6.98839E-05,0.489055,0,0.461362,7.18184E-05,,,,,0.155019,0.000156471,,
0.32637,3.38831E-05,0.400422,6.77662E-05,,,0.459983,6.89457E-05,,,,,0.153911,0.000154906,,
0.32482,0.000033036,0.394501,0.000066072,,,0.458604,5.74548E-05,,,,,0.153292,0.000150212,,
0.324236,3.17654E-05,0.394018,6.49426E-05,,,0.450675,5.02729E-05,,,,,0.147114,0.000145518,,
0.323626,3.04948E-05,0.393357,6.35308E-05,,,0.450043,0.000047879,,,,,0.145706,0.000140824,,
0.323321,2.82359E-05,0.386572,6.17156E-05,,,0.449469,4.59638E-05,,,,,0.144298,0.000131436,,
0.323067,2.54123E-05,0.38614,6.09896E-05,,,0.449239,4.30911E-05,,,,,0.137181,0.000125177,,
0.316205,0.000021782,0.383472,5.99005E-05,,,0.448377,3.83032E-05,,,,,0.136806,0.000122047,,
0.3159,1.90592E-05,0.380473,5.92954E-05,,,0.447687,3.44729E-05,,,,,0.136562,0.000118918,,
0.315291,1.69415E-05,0.375543,5.71777E-05,,,0.447343,3.28313E-05,,,,,0.135961,0.000112659,,
0.314452,1.52474E-05,0.374349,5.08246E-05,,,0.447113,2.87274E-05,,,,,0.129934,0.0001064,,
0.31435,1.27062E-05,0.365175,4.71943E-05,,,0.445389,1.91516E-05,,,,,0.129614,0.000103271,,
0.313181,8.47077E-06,0.364718,4.57422E-05,,,0.445102,1.43637E-05,,,,,0.128582,0.000097012,,
0.313003,6.35308E-06,0.36426,4.44716E-05,,,0.444987,0.000011491,,,,,0.127887,9.38826E-05,,
0.312902,5.08246E-06,0.361617,4.23539E-05,,,0.444872,8.83919E-06,,,,,0.121184,8.76238E-05,,
0.312851,3.63033E-06,0.359305,4.06597E-05,,,0.444757,8.20782E-06,,,,,0.120658,8.44943E-05,,
0.3128,0,0.358568,3.81185E-05,,,0.4447,0,,,,,0.119081,8.13649E-05,,
,,0.35313,3.55772E-05,,,,,,,,,0.118442,7.51061E-05,,
,,0.352647,3.38831E-05,,,,,,,,,0.11356,6.88473E-05,,
,,0.35069,0.000032673,,,,,,,,,0.113354,6.75955E-05,,
,,0.350233,3.17654E-05,,,,,,,,,0.112922,6.57178E-05,,
,,0.348606,3.04948E-05,,,,,,,,,0.111533,6.10237E-05,,
,,0.348454,2.96477E-05,,,,,,,,,0.111288,5.63296E-05,,
,,0.347742,2.54123E-05,,,,,,,,,0.105712,0.000048819,,
,,0.34299,0.000023824,,,,,,,,,0.105468,4.69413E-05,,
,,0.342558,2.25887E-05,,,,,,,,,0.10389,4.38119E-05,,
,,0.342355,2.22358E-05,,,,,,,,,0.103759,0.000037553,,
,,0.342177,2.11769E-05,,,,,,,,,0.100567,3.12942E-05,,
,,0.341897,2.03299E-05,,,,,,,,,0.100398,2.81648E-05,,
,,0.341694,1.90592E-05,,,,,,,,,0.100116,2.50354E-05,,
,,0.341186,1.69415E-05,,,,,,,,,0.100004,2.34707E-05,,
,,0.340728,1.52474E-05,,,,,,,,,0.0999099,1.87765E-05,,
,,0.340195,1.45213E-05,,,,,,,,,0.0985204,1.25177E-05,,
,,0.340093,1.27062E-05,,,,,,,,,0.0984829,9.38826E-06,,
,,0.338695,1.05885E-05,,,,,,,,,0.098389,7.51061E-06,,
,,0.338568,9.52962E-06,,,,,,,,,0.0983514,6.25884E-06,,
,,0.338492,8.47077E-06,,,,,,,,,0.0982951,5.00707E-06,,
,,0.338136,6.35308E-06,,,,,,,,,0.09822,4.69413E-06,,
,,0.337908,5.08246E-06,,,,,,,,,0.0982012,3.7553E-06,,
,,0.337831,4.23539E-06,,,,,,,,,0.0981637,3.12942E-06,,
,,0.337806,3.63033E-06,,,,,,,,,0.0981449,2.68236E-06,,
,,0.337781,0,,,,,,,,,0.0981261,2.08628E-06,,
,,,,,,,,,,,,0.0981073,0,,
